"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
"1:218" "P07" 2185716 "Run1" 2 "75%" "0" 0 27 0 1 0.0224468
"1:219" "P07" 2213852 "Run1" 3 "100%" "3" 1 0 86 1 0.0291428
"1:220" "P07" 2241660 "Run1" 4 "75%" "0" 0 64 0 1 0.026701
"1:221" "P07" 2267204 "Run1" 5 "50%" "0" 0 22 0 1 0.0258066
"1:222" "P07" 2293180 "Run1" 6 "75%" "3" 1 0 87 1 0.0481257
"1:223" "P07" 2320276 "Run1" 7 "25%" "0" 0 36 0 1 0.0227779
"1:224" "P07" 2347748 "Run1" 8 "50%" "2" 1 0 53 1 0.0258688
"1:225" "P07" 2375740 "Run1" 9 "50%" "0" 0 79 0 1 0.0275922
"1:226" "P07" 2402804 "Run1" 10 "100%" "1" 1 0 0 1 0.0220993
"1:227" "P07" 2431860 "Run1" 11 "0%" "0" 0 63 0 1 0.0231822
"1:228" "P07" 2457340 "Run1" 12 "0%" "0" 0 58 0 1 0.0249969
"1:229" "P07" 2482661 "Run1" 13 "25%" "0" 0 70 0 1 0.0249175
"1:230" "P07" 2506828 "Run1" 14 "100%" "2" 1 0 53 1 0.0555153
"1:231" "P07" 2532764 "Run1" 15 "50%" "0" 0 61 0 1 0.0215317
"1:232" "P07" 2559308 "Run1" 16 "0%" "0" 0 23 0 1 0.02607
"1:233" "P07" 2583756 "Run1" 17 "25%" "0" 0 41 0 1 0.0216302
"1:234" "P07" 2607252 "Run1" 18 "75%" "0" 0 68 0 1 0.0324217
"1:235" "P07" 2704004 "Run2" 1 "0%" "0" 0 58 0 1 0.0177198
"1:236" "P07" 2728572 "Run2" 2 "0%" "0" 0 36 0 1 0.0178566
"1:237" "P07" 2753324 "Run2" 3 "25%" "0" 0 70 0 1 0.0198146
"1:238" "P07" 2778372 "Run2" 4 "75%" "0" 0 31 0 1 0.0216571
"1:239" "P07" 2804979 "Run2" 5 "75%" "1" 1 0 12 1 0.0288491
"1:240" "P07" 2829515 "Run2" 6 "50%" "0" 0 64 0 1 0.0223643
"1:241" "P07" 2851243 "Run2" 7 "50%" "0" 0 54 0 1 0.0319788
"1:242" "P07" 2876179 "Run2" 8 "100%" "1" 1 0 6 1 0.0292435
"1:243" "P07" 2898227 "Run2" 9 "25%" "0" 0 68 0 1 0.0222702
"1:244" "P07" 2922907 "Run2" 10 "100%" "3" 1 0 88 1 0.0844219
"1:245" "P07" 2948907 "Run2" 11 "50%" "3" 1 0 87 1 0.0777762
"1:246" "P07" 2972451 "Run2" 12 "100%" "2" 1 0 75 1 0.0377141
"1:247" "P07" 2999459 "Run2" 13 "0%" "0" 0 30 0 1 0.0312053
"1:248" "P07" 3027379 "Run2" 14 "75%" "0" 0 94 0 1 0.108197
"1:249" "P07" 3050987 "Run2" 15 "75%" "0" 0 78 0 1 0.0273563
"1:250" "P07" 3073459 "Run2" 16 "25%" "0" 0 55 0 1 0.0240504
"1:251" "P07" 3098435 "Run2" 17 "50%" "0" 0 89 0 1 0.0375243
"1:252" "P07" 3120531 "Run2" 18 "25%" "2" 1 0 69 1 0.0452469
"1:253" "P07" 3220187 "Run3" 1 "25%" "3" 1 0 85 1 0.0534999
"1:254" "P07" 3243787 "Run3" 2 "50%" "1" 1 0 12 1 0.0214138
"1:255" "P07" 3265515 "Run3" 3 "50%" "0" 0 54 0 1 0.0192137
"1:256" "P07" 3290683 "Run3" 4 "25%" "0" 0 83 0 1 0.0326383
"1:257" "P07" 3315659 "Run3" 5 "0%" "0" 0 28 0 1 0.0208535
"1:258" "P07" 3342012 "Run3" 6 "100%" "3" 1 0 88 1 0.133159
"1:259" "P07" 3369779 "Run3" 7 "0%" "0" 0 46 0 1 0.0189794
"1:260" "P07" 3395115 "Run3" 8 "75%" "0" 0 66 0 1 0.0237378
"1:261" "P07" 3418243 "Run3" 9 "100%" "2" 1 0 56 1 0.0304188
"1:262" "P07" 3443587 "Run3" 10 "75%" "0" 0 89 0 1 0.103459
"1:263" "P07" 3466083 "Run3" 11 "25%" "0" 0 63 0 1 0.025639
"1:264" "P07" 3489939 "Run3" 12 "75%" "0" 0 54 0 1 0.0209668
"1:265" "P07" 3513371 "Run3" 13 "0%" "0" 0 20 0 1 0.0227001
"1:266" "P07" 3537051 "Run3" 14 "50%" "0" 0 86 0 1 0.0290583
"1:267" "P07" 3561508 "Run3" 15 "25%" "0" 0 31 0 1 0.0229782
"1:268" "P07" 3588684 "Run3" 16 "75%" "2" 1 0 63 1 0.0268851
"1:269" "P07" 3610723 "Run3" 17 "50%" "0" 0 64 0 1 0.0209274
"1:270" "P07" 3634403 "Run3" 18 "100%" "1" 1 0 13 1 0.0260059
"1:271" "P08" 2016017 "Run1" 1 "100%" "1" 1 0 47 1 0.0101642
"1:272" "P08" 2042081 "Run1" 2 "50%" "0" 0 53 0 1 0.0120835
"1:273" "P08" 2064865 "Run1" 3 "50%" "0" 0 52 0 1 0.014146
"1:274" "P08" 2088377 "Run1" 4 "100%" "2" 1 0 47 1 0.0116041
"1:275" "P08" 2111561 "Run1" 5 "50%" "0" 0 53 0 1 0.011487
"1:276" "P08" 2134969 "Run1" 6 "100%" "3" 1 0 53 1 0.0112406
"1:277" "P08" 2159353 "Run1" 7 "0%" "0" 0 52 0 1 0.0302789
"1:278" "P08" 2183057 "Run1" 8 "75%" "0" 0 53 0 1 0.0167218
"1:279" "P08" 2206129 "Run1" 9 "75%" "0" 0 53 0 1 0.0155792
"1:280" "P08" 2231025 "Run1" 10 "50%" "2" 1 0 46 1 0.0134907
"1:281" "P08" 2255065 "Run1" 11 "25%" "0" 0 53 0 1 0.00880819
"1:282" "P08" 2278305 "Run1" 12 "25%" "0" 0 53 0 1 0.00992291
"1:283" "P08" 2300721 "Run1" 13 "0%" "0" 0 53 0 1 0.0160907
"1:284" "P08" 2325193 "Run1" 14 "75%" "1" 1 0 46 1 0.0197669
"1:285" "P08" 2350497 "Run1" 15 "25%" "0" 0 53 0 1 0.0132589
"1:286" "P08" 2375057 "Run1" 16 "75%" "0" 0 53 0 1 0.0121321
"1:287" "P08" 2398001 "Run1" 17 "25%" "3" 1 0 52 1 0.0204399
"1:288" "P08" 2421721 "Run1" 18 "0%" "0" 0 53 0 1 0.0233085
"1:289" "P08" 2520033 "Run2" 1 "50%" "1" 1 0 47 1 0.0142063
"1:290" "P08" 2543593 "Run2" 2 "0%" "0" 0 52 0 1 0.0149645
"1:291" "P08" 2567761 "Run2" 3 "25%" "0" 0 52 0 1 0.0188815
"1:292" "P08" 2590081 "Run2" 4 "75%" "0" 0 53 0 1 0.0196692
"1:293" "P08" 2614641 "Run2" 5 "75%" "0" 0 53 0 1 0.0204679
"1:294" "P08" 2639033 "Run2" 6 "25%" "0" 0 53 0 1 0.0187985
"1:295" "P08" 2662889 "Run2" 7 "75%" "3" 1 0 52 1 0.0196651
"1:296" "P08" 2686585 "Run2" 8 "0%" "0" 0 52 0 1 0.00877549
"1:297" "P08" 2711009 "Run2" 9 "100%" "3" 1 0 52 1 0.014545
"1:298" "P08" 2734025 "Run2" 10 "50%" "0" 0 53 0 1 0.0116271
"1:299" "P08" 2758281 "Run2" 11 "100%" "2" 1 0 53 1 0.0164345
"1:300" "P08" 2780905 "Run2" 12 "0%" "0" 0 52 0 1 0.0107489
"1:301" "P08" 2804625 "Run2" 13 "100%" "1" 1 0 48 1 0.0141423
"1:302" "P08" 2829417 "Run2" 14 "25%" "0" 0 53 0 1 0.0124923
"1:303" "P08" 2855137 "Run2" 15 "50%" "0" 0 53 0 1 0.0117044
"1:304" "P08" 2878528 "Run2" 16 "50%" "0" 0 52 0 1 0.0194631
"1:305" "P08" 2903268 "Run2" 17 "75%" "0" 0 54 0 1 0.011562
"1:306" "P08" 2925636 "Run2" 18 "25%" "2" 1 0 54 1 0.0132133
"1:307" "P08" 3023600 "Run3" 1 "100%" "1" 1 0 48 1 0.0135448
"1:308" "P08" 3050656 "Run3" 2 "75%" "0" 0 56 0 1 0.0112027
"1:309" "P08" 3075412 "Run3" 3 "0%" "0" 0 54 0 1 0.0147027
"1:310" "P08" 3099536 "Run3" 4 "75%" "0" 0 52 0 1 0.013568
"1:311" "P08" 3123120 "Run3" 5 "25%" "1" 1 0 48 1 0.0148297
"1:312" "P08" 3146625 "Run3" 6 "50%" "0" 0 52 0 1 0.0106528
"1:313" "P08" 3169856 "Run3" 7 "50%" "0" 0 52 0 1 0.0185453
"1:314" "P08" 3193176 "Run3" 8 "100%" "3" 1 0 53 1 0.0194107
